data.average.firstView.Colordepth,data.average.firstView.FirstPaintedHero,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,4400,6100,3563.0649999948,3563.0600000004,4579,2029,0,1,705,0,510411,495168,17036,14909,0,6574,3290,3285,3285,2041,8,3563,3563,3521,3563,3563,3563,6583,6574,2054,2040,2040,9,1558545411.048295,6574,6574,3290,3285,576,3285,0,0,102843,108947,1,3563,3563,3522,3563,3563.0600000004,6992,6240,33.6388140162,13464,382682,4400,4400,6100,6100,0,78450,6100,0.68,0.86,0.56,3705.857,6657.988,3705.857,6657.988,609.565,5394,0.54,0.7,6584,6574,6574,0,-1,-1,1,3700,41,38,41,39,1,1,99999,1,54,97,-1,100,-1,-1,97,100,-1,0,0,11,0,1,0,17289,0,6100,6100,6100,6100,6100,9000,9000,1558545225,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190522_6Z_94afe3df9aa767aac6d83d72c4ab44aa,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190522_6Z_94afe3df9aa767aac6d83d72c4ab44aa,1,https://jet.com/product/Tide-Pods-Laundry-Detergent-Ocean-Mist-81-Loads/97523c6c1c6f44c59b907da55d645909?experienceId=23&v5=true,VM02-02-172.16.20.233,https://jet.com/product/Tide-Pods-Laundry-Detergent-Ocean-Mist-81-Loads/97523c6c1c6f44c59b907da55d645909?experienceId=23&v5=true,22,05,product23-v5,21,2019,200,Test Complete,19.04
24,4000,5000,3463.8549999945,3463.8549999945,4057,1880,0,1,700,0,510411,495168,17036,14909,0,5252,3455,3435,3430,1895,13,3463,3463,3408,3463,3463,3463,5255,5252,1903,1895,1895,10,1558545693.4208,5253,5253,3456,3436,576,3430,0,0,135928,146803,1,3464,3464,3408,3464,3463.8549999945,5635,5589,34.6344485749,13464,382682,4000,4000,5000,5000,0,78450,5000,0.68,0.86,0.54,3958.945,6658.566,3958.947,6658.566,464.687,5531,0.54,0.7,5255,5253,5253,0,-1,-1,1,3500,41,38,41,39,1,1,99999,1,54,97,-1,100,-1,-1,97,100,-1,0,0,11,0,1,0,13931,0,5000,5000,5000,5000,5000,9000,9000,1558545504,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190522_1V_56d3748cc00102b9fc6a64539d40ea50,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190522_1V_56d3748cc00102b9fc6a64539d40ea50,1,https://jet.com/product/Tide-Pods-Laundry-Detergent-Ocean-Mist-81-Loads/97523c6c1c6f44c59b907da55d645909?experienceId=23&v5=true,VM02-02-172.16.20.233,https://jet.com/product/Tide-Pods-Laundry-Detergent-Ocean-Mist-81-Loads/97523c6c1c6f44c59b907da55d645909?experienceId=23&v5=true,22,05,product23-v5,21,2019,200,Test Complete,19.04
